"surName","givenName","displayName","userPrincipalName","company","department","userLogonName","groups"
"Nordmann","Ola",,"Ola.Nordmann@DiggyCyb.sec",,"HR","olanor","Domain Users;g_hr;g_AllEmployees;l_FileShare_hr_Read;l_FileShare_hr_Write;l_Printers_Access;l_FrontDoor_Access"
"Nordmann","Kari",,"Kari.Nordmann@DiggyCyb.sec",,"IT","karnor","Domain Users;g_it;g_AllEmployees;l_FileShare_it_Read;l_FileShare_it_Write;l_Printers_ManageAccess;l_Printers_Access;l_FrontDoor_Access"
"Per","Bob",,"Bob.Per@DiggyCyb.sec",,"IT","bobper","Domain Users;g_it;g_AllEmployees;l_FileShare_it_Read;l_FileShare_it_Write;l_Printers_ManageAccess;l_Printers_Access;l_FrontDoor_Access"
"Johansen","Hans",,"Hans.Johansen@DiggyCyb.sec",,"Sale","hasjoh","Domain Users;g_AllEmployees;l_FileShare_sale_Read;l_FileShare_sale_Write;l_Printers_Access;l_FrontDoor_Access"
"Hansen","Pernille",,"Pernille.Hansen@DiggyCyb.sec",,"Sale","perhen","Domain Users;g_AllEmployees;l_FileShare_sale_Read;l_FileShare_sale_Write;l_Printers_Access;l_FrontDoor_Access"
"Nilsen","Svein",,"Svein.Nilsen@DiggyCyb.sec",,"Dev","svenil","Domain Users;g_dev;g_AllEmployees;l_FileShare_dev_Read;l_FileShare_dev_Write;l_Printers_Access;l_FrontDoor_Access"
"Pettersen","Frank",,"Frank.Pettersen@DiggyCyb.sec",,"Dev","frapet","Domain Users;g_dev;g_AllEmployees;l_FileShare_dev_Read;l_FileShare_dev_Write;l_Printers_Access;l_FrontDoor_Access"
"Henriksen","Stine",,"Stine.Henriksen@DiggyCyb.sec",,"Dev","stihen","Domain Users;g_dev;g_AllEmployees;l_FileShare_dev_Read;l_FileShare_dev_Write;l_Printers_Access;l_FrontDoor_Access"
"Svendsen","Lars",,"Lars.Svendsen@DiggyCyb.sec",,"Dev","larsve","Domain Users;g_dev;g_AllEmployees;l_FileShare_dev_Read;l_FileShare_dev_Write;l_Printers_Access;l_FrontDoor_Access"
"Bo","Nils",,"Nils.Bo@DiggyCyb.sec",,"Dev","nilbo","Domain Users;g_dev;g_AllEmployees;l_FileShare_dev_Read;l_FileShare_dev_Write;l_Printers_Access;l_FrontDoor_Access"
"Jensen","Guri",,"Guri.Jensen@DiggyCyb.sec",,"Finance","gurjen","Domain Users;g_finance;g_AllEmployees;l_FileShare_finance_Read;l_FileShare_finance_Write;l_Printers_Access;l_FrontDoor_Access"
"Nilsen","Gunnar",,"Gunnar.Nilsen@DiggyCyb.sec",,"Dev","gunnils","Domain Users;g_dev;g_AllEmployees;l_FileShare_dev_Read;l_FileShare_dev_Write;l_Printers_Access;l_FrontDoor_Access"
"Sletteland","Andreas",,"Andreas.Sletteland@DiggyCyb.sec",,"Dev","andsle","Domain Users;g_dev;g_AllEmployees;l_FileShare_dev_Read;l_FileShare_dev_Write;l_Printers_Access;l_FrontDoor_Access"
"Haugland","Hege",,"Hege.Haugland@DiggyCyb.sec",,"Dev","heghau","Domain Users;g_dev;g_AllEmployees;l_FileShare_dev_Read;l_FileShare_dev_Write;l_Printers_Access;l_FrontDoor_Access"
"Steen","Monica",,"Monica.Steen@DiggyCyb.sec",,"Dev","monste","Domain Users;g_dev;g_AllEmployees;l_FileShare_dev_Read;l_FileShare_dev_Write;l_Printers_Access;l_FrontDoor_Access"
"Sny","Svein",,"Svein.Sny@DiggyCyb.sec",,"Dev","svesny","Domain Users;g_dev;g_AllEmployees;l_FileShare_dev_Read;l_FileShare_dev_Write;l_Printers_Access;l_FrontDoor_Access"
,," ","hans.hansen",,"HR","hanhan","Domain Users;g_hr;g_AllEmployees;l_FileShare_hr_Read;l_FileShare_hr_Write;l_Printers_Access;l_FrontDoor_Access"
,," ","ola.olsen",,"Finance","olaols","Domain Users;g_finance;g_AllEmployees;l_FileShare_finance_Read;l_FileShare_finance_Write;l_Printers_Access;l_FrontDoor_Access"
"larsen","lena","lena larsen","lena.larsen",,"it","lenlar","Domain Users;g_it;g_AllEmployees;l_FileShare_it_Read;l_FileShare_it_Write;l_Printers_ManageAccess;l_Printers_Access;l_FrontDoor_Access"
"eriksen","erik","erik eriksen","erik.eriksen",,"sale","erieri","Domain Users;g_AllEmployees;l_FileShare_sale_Read;l_FileShare_sale_Write;l_Printers_Access;l_FrontDoor_Access;g_sale"
"andersen","anna","anna andersen","anna.andersen",,"sale","annand","Domain Users;g_AllEmployees;l_FileShare_sale_Read;l_FileShare_sale_Write;l_Printers_Access;l_FrontDoor_Access;g_sale"
"akvik","svein erik","svein erik akvik","svein.e.akvik",,"it","sveakv","Domain Users;g_it;g_AllEmployees;l_FileShare_it_Read;l_FileShare_it_Write;l_Printers_ManageAccess;l_Printers_Access;l_FrontDoor_Access"
"solheim","age","age solheim","age.solheim",,"it","agesol","Domain Users;g_it;g_AllEmployees;l_FileShare_it_Read;l_FileShare_it_Write;l_Printers_ManageAccess;l_Printers_Access;l_FrontDoor_Access"
"frikkson","frikk","frikk frikkson","frikk.frikkson",,"it","frifri","Domain Users;g_it;g_AllEmployees;l_FileShare_it_Read;l_FileShare_it_Write;l_Printers_ManageAccess;l_Printers_Access;l_FrontDoor_Access"
"oysteinsson","oystein vik","oystein vik oysteinsson","oystein.v.oysteinsson",,"it","oysoys","Domain Users;g_it;g_AllEmployees;l_FileShare_it_Read;l_FileShare_it_Write;l_Printers_ManageAccess;l_Printers_Access;l_FrontDoor_Access"
"person","per","per person","per.person",,"it","perper","Domain Users;g_it;g_AllEmployees;l_FileShare_it_Read;l_FileShare_it_Write;l_Printers_ManageAccess;l_Printers_Access;l_FrontDoor_Access"
"synnesdatter","synne","synne synnesdatter","synne.synnesdatter",,"it","synsyn","Domain Users;g_it;g_AllEmployees;l_FileShare_it_Read;l_FileShare_it_Write;l_Printers_ManageAccess;l_Printers_Access;l_FrontDoor_Access"
"andresen","andre","andre andresen","andre.andresen",,"it","andand","Domain Users;g_it;g_AllEmployees;l_FileShare_it_Read;l_FileShare_it_Write;l_Printers_ManageAccess;l_Printers_Access;l_FrontDoor_Access"
"viken","frank","frank viken","frank.viken",,"it","fravik","Domain Users;g_it;g_AllEmployees;l_FileShare_it_Read;l_FileShare_it_Write;l_Printers_ManageAccess;l_Printers_Access;l_FrontDoor_Access"
"jensen","heidi","heidi jensen","heidi.jensen",,"it","heijen","Domain Users;g_it;g_AllEmployees;l_FileShare_it_Read;l_FileShare_it_Write;l_Printers_ManageAccess;l_Printers_Access;l_FrontDoor_Access"
"faerjeland","terje","terje faerjeland","terje.faerjeland",,"it","terfae","Domain Users;g_it;g_AllEmployees;l_FileShare_it_Read;l_FileShare_it_Write;l_Printers_ManageAccess;l_Printers_Access;l_FrontDoor_Access"
"Bob","Bob","Bob Bob","bob.bob",,"managers","bobbob","Domain Users;g_managers;g_AllEmployees;l_FileShare_managers_Read;l_FileShare_managers_Write;l_Printers_Access;l_FrontDoor_Access"
"Fantoft","Fritz","Fritz Fantoft","fritz.fantoft",,"managers","frifan","Domain Users;g_managers;g_AllEmployees;l_FileShare_managers_Read;l_FileShare_managers_Write;l_Printers_Access;l_FrontDoor_Access"
